"dv","logdv","period","model","restriction","instrumented","latestart","weights","decadal_dv","decadal_shock","dropoutliers","dropsmallczs","prefmods"
"D.incRate_corrected_estimated_25",FALSE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"first","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"long","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"long.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"second","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"second.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","czfe","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","extracontrols","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","periodfe","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","consistent","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","latestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","no","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","no","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","no","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","<100k",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","no","<10k",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","winsorize1","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","winsorize2","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","preferred","unrestricted","instrumented","samestart","yes","yes","yes","yes","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","simple","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","spfe","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
"D.incRate_corrected_estimated_25",TRUE,"stacked.alt","statefe","unrestricted","instrumented","samestart","yes","yes","yes","no","no",FALSE
